date,sector,sectorMarketCap,x,y,width,height
2025-05-16,Consumer Discretionary,4385099482911.2275,504.2331904957366,375.2937463583129,327.785911350679,344.7062536416871
2025-05-16,Financials,3928559741128.832,832.0191018464157,0.0,447.9808981535844,225.96119389997637
2025-05-16,Health Care,3421029675983.947,832.0191018464157,225.96119389997637,264.19090542269265,333.656026371577
2025-05-16,Consumer Staples,2379911671354.785,1096.2100072691082,225.96119389997637,183.78999273089175,333.656026371577
2025-05-16,Industrials,1679884705957.3857,832.0191018464157,559.6172202715534,269.88685651724563,160.38277972844665
2025-05-16,Energy,709447780214.7656,1101.9059583636613,559.6172202715534,113.97843589282486,160.38277972844662
2025-05-16,Materials,214798250824.9512,1215.884394256486,559.6172202715534,64.11560574351391,86.32309158148692
2025-05-16,Utilities,184283152736.61743,1215.884394256486,645.9403118530403,64.11560574351391,74.05968814695902
2025-05-19,Information Technology,14085373958843.006,0.0,0.0,503.5188070637159,720.0
2025-05-19,Communication Services,4782685029608.939,503.5188070637159,0.0,327.1911875437907,376.22702987995314
2025-05-19,Consumer Discretionary,4370121514932.005,503.5188070637159,376.22702987995314,327.1911875437907,343.7729701200469
2025-05-19,Financials,3928088603131.585,830.7099946075066,0.0,449.29000539249336,225.02684384413652
2025-05-19,Health Care,3460042610966.6597,830.7099946075066,225.02684384413652,265.7395037408048,335.1236973888859
2025-05-19,Consumer Staples,2389906461173.3477,1096.4494983483114,225.02684384413652,183.55050165168853,335.1236973888859
2025-05-19,Industrials,1693248943418.541,830.7099946075066,560.1505412330224,272.6399255315535,159.8494587669776
2025-05-19,Energy,698743940934.2949,1103.34992013906,560.1505412330224,112.50885273687766,159.8494587669776
2025-05-19,Materials,215999481930.9082,1215.8587728759376,560.1505412330224,64.1412271240622,86.67528062127239
2025-05-19,Utilities,182354005166.18628,1215.8587728759376,646.8258218542948,64.1412271240622,73.17417814570447
2025-05-20,Information Technology,14016776819825.688,0.0,0.0,503.2052316840654,720.0
2025-05-20,Communication Services,4741269809624.611,503.2052316840654,0.0,326.2461763598828,375.6459627105528
2025-05-20,Consumer Discretionary,4346314250369.921,503.2052316840654,375.6459627105528,326.2461763598828,344.3540372894472
2025-05-20,Financials,3912272465049.4033,829.4514080439482,0.0,238.89604511351513,423.3013159774052
2025-05-20,Health Care,3466120298375.715,1068.3474531574634,0.0,211.65254684253668,423.3013159774052
2025-05-20,Consumer Staples,2390945129223.1797,829.4514080439482,423.3013159774052,208.29722064688255,296.6986840225948
2025-05-20,Industrials,1691662366628.1904,1037.7486286908306,423.3013159774052,242.25137130916923,180.4998849924179
2025-05-20,Energy,690079946695.627,1037.7486286908306,603.8012009698231,153.50667100537842,116.19879903017693
2025-05-20,Materials,215774261872.5586,1191.255299696209,603.8012009698231,88.74470030379081,62.84731066200577
